issueType,problem,id,province,dbDistrict,dbTehsil,workbookDistrict,workbookTehsil,tehsilUpdate,tehsilCode,details
missing-application,Application id not found in database,b8f23e74-2bfe-487c-83a9-1cab09fd0a4b,,,,Bat Tag Ram,Bat Tag Ram,Batagram,PK50402,Remove this row from the update file or confirm the application id.
invalid-code,tehsil_code not found in built-in dataset,0b3f5abb-a433-43ed-b6de-d63b9fd60d66,Khyber Pakhtunkhwa,D. I. Khan,Paharpur,D. I. Khan,Paharpur,Paharpur,PK50915,Replace the tehsil_code with a valid built-in code for this tehsil.
invalid-code,tehsil_code not found in built-in dataset,0e259d84-e1a6-4ae5-88a8-81684cce43dd,Khyber Pakhtunkhwa,Mardan,Mardan,Mardan,Mardan,Mardan,PK52306,Replace the tehsil_code with a valid built-in code for this tehsil.
invalid-code,tehsil_code not found in built-in dataset,1759f5f6-0e9d-49b3-808f-de8d9c69505e,Khyber Pakhtunkhwa,D. I. Khan,Paharpur,D. I. Khan,Paharpur,Paharpur,PK50908,Replace the tehsil_code with a valid built-in code for this tehsil.
invalid-code,tehsil_code not found in built-in dataset,18880338-8156-44b9-b875-dd394a0b5ff6,Punjab,Rawalpindi,Rawalpindi,Rawalpindi,Rawalpindi,Rawalpindi,PK63008,Replace the tehsil_code with a valid built-in code for this tehsil.
invalid-code,tehsil_code not found in built-in dataset,1ab6b453-1c93-4032-9e26-f70b1ec327e4,Khyber Pakhtunkhwa,D. I. Khan,Paharpur,D. I. Khan,Paharpur,Paharpur,PK50909,Replace the tehsil_code with a valid built-in code for this tehsil.
invalid-code,tehsil_code not found in built-in dataset,271617d6-266d-46f0-8796-3b337bc6200a,Khyber Pakhtunkhwa,D. I. Khan,Paharpur,D. I. Khan,Paharpur,Paharpur,PK50913,Replace the tehsil_code with a valid built-in code for this tehsil.
invalid-code,tehsil_code not found in built-in dataset,31ecd593-2a49-43ca-804b-0f562ff7c1bb,Khyber Pakhtunkhwa,D. I. Khan,Paharpur,D. I. Khan,Paharpur,Paharpur,PK50914,Replace the tehsil_code with a valid built-in code for this tehsil.
invalid-code,tehsil_code not found in built-in dataset,4c94db16-0866-47b2-9851-a72287dc3093,Khyber Pakhtunkhwa,D. I. Khan,Paharpur,D. I. Khan,Paharpur,Paharpur,PK50912,Replace the tehsil_code with a valid built-in code for this tehsil.
invalid-code,tehsil_code not found in built-in dataset,549010b1-c95f-4cb8-8dec-cd05677bb462,Khyber Pakhtunkhwa,D. I. Khan,Paharpur,D. I. Khan,Paharpur,Paharpur,PK50911,Replace the tehsil_code with a valid built-in code for this tehsil.
invalid-code,tehsil_code not found in built-in dataset,697e5f3d-41be-45b8-b11c-a916fba6471b,Khyber Pakhtunkhwa,Mardan,Mardan,Mardan,Mardan,Mardan,PK52308,Replace the tehsil_code with a valid built-in code for this tehsil.
invalid-code,tehsil_code not found in built-in dataset,75234909-4833-4854-99d3-ad78b11e7dd8,Khyber Pakhtunkhwa,D. I. Khan,Paharpur,D. I. Khan,Paharpur,Paharpur,PK50907,Replace the tehsil_code with a valid built-in code for this tehsil.
invalid-code,tehsil_code not found in built-in dataset,8866b2a4-5901-4a2c-b439-f569e6a0ccf8,Khyber Pakhtunkhwa,Malakand,Bat Khela,Malakand,Bat Khela,Bat Khela,PK52105,Replace the tehsil_code with a valid built-in code for this tehsil.
