id,status,province,district,tehsil,city,problem
0018786f-c464-464b-ac57-fd72ad0a4494,draft,Khyber Pakhtunkhwa,Buner,Gadazai,Kalakhela,Tehsil does not belong to the selected district in built-in dataset
0099ffdf-25da-4eef-beca-a9b12425a067,reviewer_approved,Punjab,Chakwal,Lawa,Lawa,Tehsil does not belong to the selected district in built-in dataset
00d94067-3e51-406c-82a1-c2ad308f9458,draft,Khyber Pakhtunkhwa,Buner,Gadazai,Pirbaba village kala khela,Tehsil does not belong to the selected district in built-in dataset
0102e519-2edf-4b13-b36e-68d2cfc4e7e1,draft,Khyber Pakhtunkhwa,Peshawar,Peshawar,Peshawar,Tehsil does not belong to the selected district in built-in dataset
0718627e-9f08-4970-9fef-283cbe9d20a0,draft,Punjab,Chakwal,Talagang,سگھر,Tehsil does not belong to the selected district in built-in dataset
071e7958-8591-44e8-83f8-fe6af9b7ac39,draft,Khyber Pakhtunkhwa,Shangla,مارتونگ، پورن,گاؤں دانکول,Tehsil does not belong to the selected district in built-in dataset
07eea35d-09bf-41f6-a482-5bdb8bf65c4a,draft,Sindh,Malir Karachi,ابراھیم حیدری ٹاون,کراچی,Tehsil does not belong to the selected district in built-in dataset
080b3561-b60b-4214-8e2b-3580c34e2463,draft,Punjab,Attock,s,Shahder,Tehsil does not belong to the selected district in built-in dataset
087e2c83-52c4-4d35-85f4-1ccadbd274c1,draft,Khyber Pakhtunkhwa,Buner,Gadezai,Kinger Galay Kalay,Tehsil does not belong to the selected district in built-in dataset
0b80326c-7e8b-47d9-9db1-6c85ee9008db,draft,Khyber Pakhtunkhwa,Swat,مٹہ,شور,Tehsil does not belong to the selected district in built-in dataset
0d3496c6-ef93-48b7-a45a-9eb1e31f009a,draft,Sindh,Khairpur,ٹھری میرواھ,چہوٹی ٹہری,Tehsil does not belong to the selected district in built-in dataset
0e864c6a-a174-4f8c-a19b-5bb988d8022c,draft,Sindh,West Karachi,Baldia town,Raseedabad baldia town,Tehsil does not belong to the selected district in built-in dataset
0eb0c9ba-2ca4-43fa-93d9-45064b3c2afd,draft,Khyber Pakhtunkhwa,Buner,Gadezai,Pir Baba,Tehsil does not belong to the selected district in built-in dataset
106a8a04-f874-487c-b139-2f808523feab,supervisor_approved,Khyber Pakhtunkhwa,Buner,"Gadezai, Daggar",salarzi,Tehsil does not belong to the selected district in built-in dataset
115c48f8-2fb8-4a2e-835a-7e3641d2c1b6,draft,Khyber Pakhtunkhwa,Buner,"Gadezai, Daggar",Buner,Tehsil does not belong to the selected district in built-in dataset
12ae57db-9299-4266-9143-db2977d63d93,draft,Punjab,Chakwal,Talagang,Dhulli,Tehsil does not belong to the selected district in built-in dataset
12efaa2d-7842-444e-be86-19a6c73e17b2,draft,Sindh,Sanghar,مٹھو کھوسو,ٹنڈو آدم,Tehsil does not belong to the selected district in built-in dataset
14ac2705-ef01-41ef-bf39-c5ceff6f51d6,draft,Khyber Pakhtunkhwa,Shangla,مارتونگ، پورن,گاؤں دانکول,Tehsil does not belong to the selected district in built-in dataset
159b1ce9-978d-44ed-b7d5-0a17d8628655,admin_approved,Khyber Pakhtunkhwa,Buner,gadezi,salarzai,Tehsil does not belong to the selected district in built-in dataset
16e6b634-b9bd-4a87-9242-286d0df4ced6,needs_correction,Khyber Pakhtunkhwa,Buner,Gadazai,Pir Baba,Tehsil does not belong to the selected district in built-in dataset
17200789-ad47-49e8-af16-13fcda947c7e,draft,Khyber Pakhtunkhwa,Buner,Gadazai,Kalabut,Tehsil does not belong to the selected district in built-in dataset
179e5617-c508-4666-bbb5-04ebb1d5c694,draft,Khyber Pakhtunkhwa,Buner,Gadezai,Pir Baba,Tehsil does not belong to the selected district in built-in dataset
1a9ff56b-ae75-444a-945a-a4bbef4b57fd,submitted,Khyber Pakhtunkhwa,Buner,گدیزی,کنگرگلئ,Tehsil does not belong to the selected district in built-in dataset
1dfe90b2-3ad8-4fa9-9383-c27cea68c307,draft,Khyber Pakhtunkhwa,Chitral Upper,Torkhow mulkhow,Oweer,Tehsil does not belong to the selected district in built-in dataset
21286c8b-c54f-43e8-8f06-91c05ccaab64,supervisor_approved,Khyber Pakhtunkhwa,Buner,gadezi,salarzai,Tehsil does not belong to the selected district in built-in dataset
216db283-29be-4a7a-87cd-bf2497dd7204,draft,Punjab,Chakwal,لاوہ,لیٹی,Tehsil does not belong to the selected district in built-in dataset
21acccf4-cffa-4284-a986-702c4e4c8da1,reviewer_approved,Sindh,East Karachi,Korangi Town,Gulzar colony,Tehsil does not belong to the selected district in built-in dataset
23a8d663-d99f-4632-be19-33c7261c1b85,draft,Khyber Pakhtunkhwa,Buner,Gadezai,Malakpur,Tehsil does not belong to the selected district in built-in dataset
24c02e7c-9c18-4efe-99d9-1eae4d55072c,draft,Khyber Pakhtunkhwa,Chitral Upper,Torkhow mulkhow,Oweer,Tehsil does not belong to the selected district in built-in dataset
255d863b-bf84-4165-86e1-7b12f25f236f,supervisor_approved,Khyber Pakhtunkhwa,Swat,مٹہ,مٹہ,Tehsil does not belong to the selected district in built-in dataset
25729dd8-4ebf-4c7d-9225-f2bfaa10e5bd,supervisor_approved,Khyber Pakhtunkhwa,Swat,مٹہ,مٹہ,Tehsil does not belong to the selected district in built-in dataset
2997eee1-3037-4953-a80c-f2374622b9ba,draft,Sindh,South Karachi,Karachi,Karachi,Tehsil does not belong to the selected district in built-in dataset
2aa84540-dd63-4d9d-8dc1-e27be571a5df,draft,Khyber Pakhtunkhwa,Bajaur,barang,bajaur,Tehsil does not belong to the selected district in built-in dataset
2c55ef92-55e9-4551-a7a5-039a1fc56ff2,draft,Punjab,Chakwal,Talagang,Jhatla,Tehsil does not belong to the selected district in built-in dataset
2daf7453-0f5a-40de-937d-435062da89c2,draft,Punjab,Chakwal,Talagang,Chinji,Tehsil does not belong to the selected district in built-in dataset
2e1fa6ed-bb26-4e67-835d-a03d8dc50af2,admin_approved,Sindh,East Karachi,Korangi Town,Gulzar colony,Tehsil does not belong to the selected district in built-in dataset
2e98a135-3fb3-4136-9fb4-552f6018cce5,draft,Khyber Pakhtunkhwa,Buner,Gadazai,Kala khela po pirbaba buner,Tehsil does not belong to the selected district in built-in dataset
2eb53d65-5163-4d22-b907-77caeea74e85,draft,Khyber Pakhtunkhwa,Malakand,بٹ خیلہ,چارسدہ,Tehsil does not belong to the selected district in built-in dataset
2f240dea-4eb6-4cfb-8fe1-4bbcde59aa5e,draft,Khyber Pakhtunkhwa,Shangla,مارتونگ، پورن,گاؤں دانکول,Tehsil does not belong to the selected district in built-in dataset
319e1412-18b5-471f-9e86-c68e461729e2,draft,Khyber Pakhtunkhwa,Buner,Gadezai,Pir Baba,Tehsil does not belong to the selected district in built-in dataset
31ac396c-849d-4314-ae95-4a72d704f01a,draft,Khyber Pakhtunkhwa,Buner,Gadezai,Buner,Tehsil does not belong to the selected district in built-in dataset
348ca901-c1bb-459a-9fa1-7f057249ad0b,draft,Khyber Pakhtunkhwa,Chitral Upper,Mulkhow torkhow,Oweer,Tehsil does not belong to the selected district in built-in dataset
396b8989-ac20-437b-b329-c92568087cd4,admin_approved,Khyber Pakhtunkhwa,Buner,gadezi,salarzai,Tehsil does not belong to the selected district in built-in dataset
39f671a2-8738-4645-9189-0a4a0df75ddd,draft,Khyber Pakhtunkhwa,Buner,Gadazai,Kinger Galay Kalay,Tehsil does not belong to the selected district in built-in dataset
3b795577-3c20-4d32-b838-79d9457e4bee,draft,Khyber Pakhtunkhwa,Buner,Gadezai,Buner,Tehsil does not belong to the selected district in built-in dataset
3b938a40-6b92-4988-a80e-4fa50d6273d9,needs_correction,Khyber Pakhtunkhwa,Hangu,اپر,Hangu,Tehsil does not belong to the selected district in built-in dataset
3d06226b-0802-4177-9d95-5db42c18399a,draft,Khyber Pakhtunkhwa,Chitral Upper,Mulkhow torkhow,Oweer,Tehsil does not belong to the selected district in built-in dataset
3d0a187a-c336-425d-b28b-7d1fbd18c145,draft,Khyber Pakhtunkhwa,Abbottabad,Hazara,Manshra,Tehsil does not belong to the selected district in built-in dataset
3e2b425d-22d3-461d-8751-959fcef19cf0,draft,Khyber Pakhtunkhwa,Swat,مٹہ,شور,Tehsil does not belong to the selected district in built-in dataset
3efb5de4-3ae4-4059-8c36-c7502957f0e9,draft,Sindh,Sanghar,مٹھو کھوسو,ٹنڈو آدم,Tehsil does not belong to the selected district in built-in dataset
4184a8f7-df5a-48e1-88a5-14ed7117027f,draft,Punjab,Chakwal,Talagang,Kotehra near chingi,Tehsil does not belong to the selected district in built-in dataset
4380cb2b-3fc5-41af-b8a6-afb77c769cfb,draft,Punjab,Chakwal,Talagang,Mehmoodwala,Tehsil does not belong to the selected district in built-in dataset
44692816-dc85-4964-8b07-9f0c52c3c119,draft,Khyber Pakhtunkhwa,Swat,مٹہ,شور,Tehsil does not belong to the selected district in built-in dataset
447debe9-9d46-42a0-b1b0-10e316dbb76a,draft,Punjab,Chakwal,Talagang,village Pira jangla,Tehsil does not belong to the selected district in built-in dataset
472ca918-701d-48c9-9198-8d6ddca82265,draft,Punjab,Chakwal,Talagang,Village Jhatla,Tehsil does not belong to the selected district in built-in dataset
480d7efb-7992-4eb5-bc87-b31a644d049b,submitted,Punjab,Rawalpindi,ٹیکسلا,واہ فیکٹری ٹیکسلا,Tehsil does not belong to the selected district in built-in dataset
